State,Incidents,Abbreviations
Alabama,5471,AL
Alaska,1349,AK
Arizona,2328,AZ
Arkansas,2842,AR
California,16306,CA
Colorado,3201,CO
Connecticut,3067,CT
Delaware,1685,DE
Florida,15029,FL
Georgia,8925,GA
Hawaii,289,HI
Idaho,661,ID
Illinois,17556,IL
Indiana,5852,IN
Iowa,2517,IA
Kansas,2145,KS
Kentucky,4157,KY
Louisiana,8103,LA
Maine,907,ME
Maryland,5798,MD
Massachusetts,5981,MA
Michigan,6136,MI
Minnesota,2408,MN
Mississippi,3599,MS
Missouri,6631,MO
Montana,638,MT
Nebraska,1651,NE
Nevada,1953,NV
New Hampshire,964,NH
New Jersey,5387,NJ
New Mexico,1645,NM
New York,9712,NY
North Carolina,8739,NC
North Dakota,573,ND
Ohio,10244,OH
Oklahoma,3455,OK
Oregon,2286,OR
Pennsylvania,8929,PA
Rhode Island,895,RI
South Carolina,6939,SC
South Dakota,544,SD
Tennessee,7626,TN
Texas,13577,TX
Utah,1072,UT
Vermont,472,VT
Virginia,5949,VA
Washington,3434,WA
West Virginia,1575,WV
Wisconsin,4787,WI
Wyoming,494,WY
